,nodeid1,nodeid2
0,48293,28440
1,45189,6677
2,61317,60751
3,127452,116056
4,86674,29462
5,140057,41783
6,40081,75145
7,108926,62090
8,21001,60758
9,70476,27251
10,29852,137638
11,26946,139170
12,124833,125685
13,37637,52177
14,141451,38635
15,93335,58881
16,45050,139827
17,6546,51803
18,39678,34162
19,93073,139195
20,10645,42190
21,7826,31485
22,105383,103081
23,85145,124272
24,48387,50492
25,54123,131418
26,117914,110743
27,75830,65971
28,106113,34767
29,95763,7041
30,72871,88366
31,2212,118972
32,126942,28968
33,115910,22539
34,32929,139454
35,143267,39758
36,16883,57585
37,23442,5215
38,124984,58015
39,46230,97242
40,13244,17475
41,134765,91999
42,67157,85653
43,287,123596
44,40900,140635
45,30424,67260
46,125722,11816
47,103242,128288
48,82188,135802
49,94420,68886
50,39346,4006
51,139041,84454
52,6356,96258
53,16793,124578
54,68153,11441
55,60572,42677
56,113802,124493
57,121878,17005
58,2131,95296
59,40128,120465
60,28675,33140
61,76916,11301
62,133080,120726
63,102582,110363
64,42032,29855
65,27509,63860
66,3879,16469
67,62575,75456
68,115658,72433
69,50225,79965
70,6958,113220
71,72790,26080
72,50072,4237
73,38471,142088
74,107375,68111
75,144792,123830
76,88684,22923
77,55581,134689
78,64212,36258
79,51089,107267
80,118875,137296
81,54380,78045
82,43698,87917
83,68710,3651
84,69254,58015
85,7092,141652
86,112272,75900
87,38223,139840
88,49455,29825
89,138907,29473
90,42429,86371
91,79765,91795
92,52597,144380
93,144857,83271
94,57325,126903
95,38307,15243
96,27262,12921
97,26833,124329
98,34922,41330
99,71775,24431
100,94909,12556
101,92295,143496
102,67801,48341
103,32571,70259
104,30375,136448
105,46707,15014
106,74526,87604
107,8720,144520
108,129306,120905
109,99941,25963
110,55849,23247
111,59865,105163
112,74343,13068
113,22285,44570
114,14965,133281
115,40105,16175
116,72705,29361
117,7320,105769
118,70779,134166
119,59102,112236
120,7463,106855
121,30935,45698
122,56344,120432
123,95439,99925
124,130422,87010
125,79653,517
126,101678,88928
127,63945,74021
128,71384,133036
129,105917,16335
130,85225,94233
131,80421,25697
132,71173,135972
133,137033,48422
134,80073,103732
135,109513,11145
136,58018,2011
137,142865,60054
138,123402,80417
139,38603,79649
140,3971,42920
141,137120,108110
142,32019,53945
143,100622,7799
144,76849,31597
145,46107,44488
146,66439,63727
147,10961,94457
148,49094,128282
149,79941,89467
150,107000,4923
151,143429,129164
152,24935,35445
153,99844,91763
154,128000,92016
155,106752,106126
156,25477,10173
157,75045,65120
158,40605,125308
159,39461,53555
160,68043,118972
161,48319,12061
162,136695,38763
163,14808,126051
164,52994,120776
165,9030,127369
166,106752,52848
167,34433,138443
168,69675,90997
169,89413,31822
170,84479,44053
171,69627,43863
172,143767,32191
173,95239,99768
174,55898,105340
175,104055,125858
176,28389,90443
177,104068,8775
178,52805,47938
179,39735,124242
180,134237,45327
181,60266,4968
182,26840,63603
183,65114,128782
184,120316,14879
185,111860,35635
186,132541,25728
187,117416,13322
188,64312,135452
189,66932,13999
190,25671,21810
191,34746,55336
192,21571,97213
193,34923,121571
194,128360,56070
195,77628,62896
196,53477,35383
197,99939,64736
198,17057,55826
199,129891,14822
200,117085,117085
201,26582,136137
202,26571,88335
203,86193,62922
204,14879,126718
205,89074,72142
206,52600,51019
207,52498,106038
208,134846,40108
209,139651,104138
210,90986,24068
211,27035,100302
212,142123,107176
213,77119,46830
214,68303,35184
215,6741,58540
216,88361,24910
217,78516,119154
218,10373,52488
219,7358,65395
220,127520,5076
221,2210,18469
222,35430,25635
223,94151,10551
224,63590,27008
225,20883,98861
226,82640,82421
227,48818,92492
228,91168,75028
229,122754,129874
230,28246,83764
231,141303,6
232,133859,113316
233,2441,120442
234,118539,1331
235,58653,78431
236,111218,93370
237,81602,35600
238,125580,119520
239,102380,26706
240,13367,85809
241,121536,109752
242,123864,35892
243,74521,50351
244,137477,97972
245,87253,103566
246,38430,16359
247,80098,95972
248,85008,57636
249,140202,134805
250,44543,98605
251,72519,61251
252,37649,22478
253,37910,78019
254,92470,42262
255,36868,92631
256,57314,80911
257,140565,76670
258,30934,44571
259,87348,134920
260,257,67401
261,20327,104111
262,37765,40839
263,124611,11349
264,10796,2970
265,135807,76611
266,18672,33864
267,94546,12193
268,98157,29589
269,6620,115579
270,96413,103631
271,14708,10040
272,97608,106169
273,23848,73034
274,97632,42775
275,62388,121949
276,38592,105470
277,60558,137564
278,76359,91618
279,8594,100745
280,54509,10579
281,134080,54878
282,14993,23407
283,123885,106888
284,58043,39861
285,10170,11231
286,126550,108167
287,39141,92058
288,66473,79211
289,93899,84386
290,125226,32100
291,31154,72081
292,79428,111163
293,27400,39264
294,11558,4251
295,47975,58946
296,126062,3181
297,22570,93250
298,64631,53287
299,72455,21667
300,112023,72417
301,10874,122757
302,124449,130111
303,23546,18132
304,54248,80799
305,82723,27679
306,132527,112055
307,116465,41919
308,112667,122774
309,108905,3149
310,20385,54218
311,72149,118103
312,245,128931
313,11174,81530
314,137945,65376
315,110101,45167
316,65288,101914
317,143032,63320
318,15245,65025
319,142393,45248
320,95680,5495
321,79269,63470
322,27018,94185
323,93759,89190
324,52278,118209
325,117437,48684
326,12386,123459
327,132116,116672
328,55077,5190
329,94887,65432
330,52631,80598
331,69325,81433
332,94050,24091
333,16226,47550
334,81836,95106
335,67601,4037
336,133493,45735
337,94069,74696
338,7677,10579
339,11746,40672
340,63547,51769
341,116170,71787
342,98607,112435
343,102180,44848
344,118279,72423
345,30422,75592
346,53244,57403
347,102592,2875
348,23483,71944
349,3124,117337
350,71154,83749
351,105951,83075
352,62517,100000
353,3283,109444
354,108672,36915
355,111734,68214
356,48792,97004
357,38560,128243
358,24839,54504
359,396,136507
360,54185,130750
361,25996,45472
362,115599,37237
363,16787,99696
364,99654,45987
365,27113,63255
366,75584,37774
367,116776,61525
368,107111,1353
369,36300,44492
370,115192,87758
371,39361,65275
372,39695,97242
373,114594,34217
374,72353,17489
375,68297,138376
376,76138,52348
377,108536,110676
378,85865,98644
379,108311,93445
380,57603,4178
381,39943,103660
382,125045,32848
383,131200,34471
384,40698,87729
385,61407,95547
386,99767,16231
387,118367,83907
388,93453,47897
389,59233,29584
390,127019,10147
391,111749,96270
392,61768,92714
393,23991,139536
394,137337,105731
395,105675,92676
396,60836,142643
397,138290,41566
398,79212,101580
399,125892,39669
400,14137,126546
401,112262,74252
402,61640,46836
403,3563,37815
404,106584,40473
405,10283,114410
406,73793,128223
407,88231,51021
408,2294,59982
409,42200,128645
410,110111,41765
411,88661,22463
412,67891,91181
413,26511,69736
414,54932,37422
415,46652,141670
416,76492,56292
417,6512,105507
418,59884,51509
419,102214,132398
420,93925,13206
421,48152,7466
422,141335,110974
423,66192,135182
424,14548,120538
425,25381,82698
426,10170,37025
427,15260,66806
428,46614,35128
429,10951,61
430,59704,114257
431,38917,722
432,138463,12266
433,78514,127252
434,36403,38552
435,3133,64359
436,124391,96890
437,119062,127821
438,107381,130147
439,17856,33406
440,84328,69291
441,131165,125746
442,91583,79655
443,67573,31855
444,16266,37235
445,40948,32077
446,52043,142875
447,64089,33390
448,123248,130822
449,91034,6895
450,2333,75505
451,119966,141982
452,102949,137347
453,103052,84100
454,55369,105603
455,104410,98425
456,106592,52569
457,88284,20759
458,34267,14607
459,74120,58903
460,20265,72623
461,80120,37828
462,42146,20322
463,103267,125404
464,44581,141448
465,72738,121302
466,3133,44290
467,120828,1612
468,19898,54931
469,122289,19422
470,48004,5307
471,36830,106971
472,92642,91720
473,57707,24965
474,25677,87922
475,7502,56093
476,97952,107406
477,132769,54889
478,29441,56781
479,127805,103285
480,3971,124601
481,34162,134905
482,135710,38989
483,140745,71272
484,105107,21802
485,89959,29838
486,78385,63775
487,88909,17149
488,116174,19537
489,91406,89226
490,114898,42027
491,11846,76938
492,107810,121682
493,81895,5109
494,139829,19842
495,43277,101189
496,94950,5365
497,27981,3658
498,98096,98691
499,86605,47039
500,35406,59457
501,102113,77661
502,121519,16991
503,52759,85661
504,103043,71984
505,26697,53286
506,28745,63353
507,58092,18672
508,8889,49352
509,155,55302
510,142467,101329
511,1347,142321
512,60022,113906
513,113568,47388
514,23762,121481
515,118755,66732
516,129101,64065
517,81401,26366
518,94374,129305
519,61494,144061
520,110520,41083
521,1275,119164
522,107832,77095
523,85266,48710
524,54010,48846
525,36199,144950
526,83509,45013
527,28348,37892
528,120460,119037
529,91681,39025
530,85502,87719
531,141932,66052
532,116760,134678
533,2521,25968
534,84920,100917
535,140508,110936
536,32737,39031
537,82096,130426
538,52654,2184
539,51267,65306
540,27559,21636
541,91623,104961
542,25563,88242
543,92527,39593
544,50748,42359
545,8054,105787
546,106015,95914
547,50001,57845
548,79029,35577
549,131275,68887
550,80282,103660
551,66326,30091
552,116453,30263
553,29865,72424
554,96178,67067
555,51777,26240
556,44704,85725
557,56534,77120
558,76243,92724
559,133633,2529
560,60546,131858
561,102963,83499
562,54130,103691
563,142374,108027
564,143113,19641
565,31654,45961
566,88890,64642
567,31285,81031
568,35439,95681
569,136128,8359
570,7030,51330
571,80493,133400
572,94384,34047
573,27307,1610
574,121934,19208
575,116095,50154
576,84465,114185
577,73077,3366
578,141230,7241
