cust,prod,day,month,year,state,quant,date
Boo,Dates,4,3,2018,CT,808,3/4/18
Boo,Ham,21,1,2016,CT,983,1/21/16
Boo,Ice,30,1,2020,PA,642,1/30/20
Boo,Dates,16,4,2016,PA,990,4/16/16
Boo,Fish,3,8,2019,CT,121,8/3/19
Boo,Apple,3,1,2018,NJ,759,1/3/18
Boo,Eggs,16,12,2018,CT,727,12/16/18
Boo,Cherry,22,8,2017,PA,314,8/22/17
Boo,Grapes,15,2,2017,CT,319,2/15/17
Boo,Eggs,31,1,2017,CT,608,1/31/17
Boo,Apple,12,8,2020,PA,449,8/12/20
Boo,Cherry,8,9,2020,CT,2,9/8/20
Boo,Apple,24,2,2018,NY,692,2/24/18
Boo,Dates,30,9,2020,NY,403,9/30/20
Boo,Eggs,18,11,2017,NJ,410,11/18/17
Boo,Apple,28,9,2020,NY,142,9/28/20
Boo,Apple,14,4,2019,NY,879,4/14/19
Boo,Dates,7,12,2019,NJ,794,12/7/19
Boo,Jellies,14,12,2019,NJ,896,12/14/19
Boo,Grapes,30,4,2019,CT,998,4/30/19
Boo,Eggs,9,9,2018,NJ,609,9/9/18
Boo,Ice,23,9,2019,PA,977,9/23/19
Boo,Apple,10,12,2017,NY,575,12/10/17
Boo,Jellies,20,2,2018,NY,498,2/20/18
Boo,Apple,6,3,2020,CT,849,3/6/20
Boo,Dates,6,3,2016,PA,962,3/6/16
Boo,Ice,27,4,2020,CT,348,4/27/20
Boo,Jellies,12,1,2018,NY,741,1/12/18
Boo,Butter,15,2,2016,NY,724,2/15/16
Boo,Jellies,22,11,2017,CT,98,11/22/17
Boo,Cherry,19,3,2018,NJ,816,3/19/18
Boo,Cherry,8,8,2020,PA,123,8/8/20
Boo,Dates,19,6,2018,NJ,631,6/19/18
Boo,Butter,23,11,2017,NJ,959,11/23/17
Boo,Grapes,10,9,2018,CT,412,9/10/18
Boo,Cherry,14,2,2019,NJ,748,2/14/19
Boo,Ham,24,6,2019,CT,676,6/24/19
Boo,Ham,13,1,2020,NJ,382,1/13/20
Boo,Ice,27,11,2017,NJ,744,11/27/17
Boo,Cherry,31,10,2019,PA,580,10/31/19
Boo,Butter,14,1,2017,PA,983,1/14/17
Boo,Grapes,20,1,2020,NY,550,1/20/20
Boo,Eggs,6,7,2020,NY,307,7/6/20
Boo,Ice,23,5,2017,NJ,880,5/23/17
Boo,Apple,12,2,2016,NY,47,2/12/16
Boo,Cherry,6,1,2020,NY,948,1/6/20
Boo,Ice,22,9,2016,NJ,950,9/22/16
Boo,Jellies,8,6,2019,NY,699,6/8/19
Boo,Cherry,17,3,2018,CT,382,3/17/18
Boo,Ice,30,12,2019,PA,352,12/30/19
Boo,Eggs,25,10,2016,NY,676,10/25/16
Boo,Butter,5,11,2020,NY,623,11/5/20
Boo,Ice,13,2,2018,PA,701,2/13/18
Boo,Apple,25,12,2017,CT,211,12/25/17
Boo,Cherry,10,6,2018,PA,492,6/10/18
Boo,Dates,7,3,2018,PA,886,3/7/18
Boo,Jellies,27,9,2019,PA,335,9/27/19
Boo,Fish,23,9,2018,NJ,720,9/23/18
Boo,Dates,24,2,2020,NY,1000,2/24/20
Boo,Eggs,16,1,2017,CT,600,1/16/17
Boo,Jellies,28,11,2018,PA,859,11/28/18
Boo,Jellies,25,12,2016,NY,662,12/25/16
Boo,Eggs,18,8,2017,PA,196,8/18/17
Boo,Cherry,14,3,2016,NJ,691,3/14/16
Boo,Ham,10,10,2017,CT,43,10/10/17
Boo,Eggs,26,4,2019,NJ,450,4/26/19
Boo,Dates,21,2,2019,PA,115,2/21/19
Boo,Jellies,2,1,2019,CT,609,1/2/19
Boo,Ham,22,3,2020,NY,223,3/22/20
Boo,Butter,12,6,2017,PA,412,6/12/17
Boo,Grapes,11,12,2018,PA,953,12/11/18
Boo,Dates,24,10,2017,NJ,129,10/24/17
Boo,Apple,20,10,2018,NY,378,10/20/18
Boo,Ice,5,9,2016,NJ,180,9/5/16
Boo,Eggs,3,4,2017,NY,525,4/3/17
Boo,Dates,14,11,2019,NJ,208,11/14/19
Boo,Eggs,6,6,2016,NJ,188,6/6/16
Boo,Ice,21,1,2018,CT,400,1/21/18
Boo,Apple,25,7,2017,CT,999,7/25/17
Boo,Ice,17,5,2019,PA,764,5/17/19
Boo,Jellies,15,2,2019,NY,616,2/15/19
Boo,Dates,23,2,2020,NJ,946,2/23/20
Boo,Dates,22,12,2016,PA,407,12/22/16
Boo,Ham,4,3,2017,NJ,497,3/4/17
Boo,Ham,19,8,2018,NJ,822,8/19/18
Boo,Eggs,19,9,2016,NY,52,9/19/16
Boo,Ham,6,7,2019,PA,183,7/6/19
Boo,Grapes,25,12,2018,CT,945,12/25/18
Boo,Butter,26,7,2017,NJ,756,7/26/17
Boo,Butter,7,3,2018,NY,726,3/7/18
Boo,Grapes,3,3,2018,NY,317,3/3/18
Boo,Ice,28,1,2020,PA,195,1/28/20
Boo,Dates,20,12,2017,NJ,764,12/20/17
Boo,Eggs,14,3,2016,PA,448,3/14/16
Boo,Dates,25,1,2016,PA,164,1/25/16
Boo,Apple,13,12,2020,NY,670,12/13/20
Boo,Fish,9,4,2018,PA,424,4/9/18
Boo,Cherry,21,11,2017,NY,928,11/21/17
Boo,Ham,1,1,2016,PA,898,1/1/16
Boo,Ham,25,2,2018,PA,23,2/25/18
Boo,Cherry,27,2,2017,CT,263,2/27/17
Boo,Grapes,23,7,2016,PA,737,7/23/16
Boo,Jellies,4,7,2017,CT,40,7/4/17
Boo,Cherry,5,1,2016,NY,4,1/5/16
Boo,Eggs,23,1,2017,NJ,861,1/23/17
Boo,Fish,30,11,2020,PA,906,11/30/20
Boo,Grapes,21,11,2018,NY,72,11/21/18
Boo,Ham,18,4,2019,CT,974,4/18/19
Boo,Cherry,14,12,2020,PA,366,12/14/20
Boo,Fish,27,8,2016,NY,507,8/27/16
Boo,Ice,28,11,2020,NJ,771,11/28/20
Boo,Jellies,8,1,2018,NJ,51,1/8/18
Boo,Jellies,21,8,2016,NY,254,8/21/16
Boo,Eggs,30,10,2018,NY,118,10/30/18
Boo,Grapes,3,5,2019,NJ,671,5/3/19
Boo,Cherry,23,12,2016,NJ,968,12/23/16
Boo,Eggs,8,7,2017,NY,990,7/8/17
Boo,Cherry,1,11,2017,NY,800,11/1/17
Boo,Cherry,22,4,2020,CT,99,4/22/20
Boo,Eggs,4,8,2020,NJ,211,8/4/20
Boo,Dates,26,2,2017,CT,365,2/26/17
Boo,Eggs,20,3,2018,PA,378,3/20/18
Boo,Ham,25,10,2020,NY,328,10/25/20
Boo,Ice,8,5,2018,NJ,857,5/8/18
Boo,Eggs,4,5,2018,PA,962,5/4/18
Boo,Jellies,28,9,2016,CT,35,9/28/16
Boo,Ham,2,9,2019,PA,473,9/2/19
Boo,Eggs,27,9,2020,NY,48,9/27/20
Boo,Apple,9,2,2018,PA,438,2/9/18
Boo,Jellies,16,9,2016,CT,116,9/16/16
Boo,Ham,18,8,2020,PA,675,8/18/20
Boo,Ice,3,10,2016,NJ,387,10/3/16
Boo,Fish,8,4,2017,NJ,422,4/8/17
Boo,Grapes,4,12,2020,NJ,766,12/4/20
Boo,Butter,5,10,2016,CT,983,10/5/16
Boo,Cherry,4,1,2016,NJ,908,1/4/16
Boo,Ice,4,8,2020,CT,542,8/4/20
Boo,Butter,30,1,2019,CT,163,1/30/19
Boo,Butter,1,6,2018,CT,420,6/1/18
Boo,Fish,13,4,2016,CT,763,4/13/16
Boo,Ham,27,9,2016,NJ,839,9/27/16
Boo,Butter,24,8,2020,PA,178,8/24/20
Boo,Ice,5,8,2017,CT,720,8/5/17
Boo,Fish,13,8,2019,NJ,602,8/13/19
Boo,Grapes,2,2,2016,NJ,229,2/2/16
Boo,Eggs,2,1,2017,NJ,61,1/2/17
Boo,Dates,20,11,2016,CT,387,11/20/16
Boo,Grapes,12,3,2020,PA,680,3/12/20
Boo,Butter,19,5,2017,NY,569,5/19/17
Boo,Ham,4,4,2020,NY,743,4/4/20
Boo,Fish,2,6,2017,PA,387,6/2/17
Boo,Ham,26,12,2020,CT,996,12/26/20
Boo,Apple,4,10,2020,NJ,610,10/4/20
Boo,Eggs,4,12,2016,CT,715,12/4/16
Boo,Eggs,28,6,2016,NJ,885,6/28/16
Boo,Apple,29,4,2017,PA,560,4/29/17
Boo,Ice,9,3,2019,PA,103,3/9/19
Boo,Ice,17,9,2019,NY,310,9/17/19
Boo,Grapes,21,11,2020,CT,631,11/21/20
Boo,Eggs,30,5,2017,NJ,842,5/30/17
Boo,Cherry,16,4,2017,CT,703,4/16/17
Boo,Eggs,11,11,2017,NY,363,11/11/17
Boo,Fish,4,6,2016,CT,601,6/4/16
Boo,Ham,28,5,2017,PA,629,5/28/17
Boo,Butter,26,8,2016,PA,20,8/26/16
Boo,Fish,8,10,2020,NJ,609,10/8/20
Boo,Ham,13,2,2017,NJ,271,2/13/17
Boo,Butter,26,11,2019,CT,804,11/26/19
Boo,Cherry,19,11,2017,PA,929,11/19/17
Boo,Apple,3,4,2016,NY,103,4/3/16
Boo,Butter,4,3,2016,NJ,529,3/4/16
Boo,Grapes,18,12,2020,NJ,1,12/18/20
Boo,Jellies,23,3,2018,NJ,699,3/23/18
Boo,Eggs,11,12,2016,NJ,946,12/11/16
Boo,Grapes,28,10,2017,NJ,239,10/28/17
Boo,Eggs,6,4,2018,PA,769,4/6/18
Boo,Jellies,9,1,2019,PA,249,1/9/19
Boo,Cherry,11,6,2017,PA,287,6/11/17
Boo,Ice,10,11,2016,CT,338,11/10/16
Boo,Fish,25,5,2018,NJ,107,5/25/18
Boo,Jellies,24,2,2020,NY,784,2/24/20
Boo,Ham,28,5,2016,NJ,102,5/28/16
Boo,Cherry,19,1,2017,PA,145,1/19/17
Boo,Ham,16,9,2020,PA,678,9/16/20
Boo,Eggs,11,3,2018,CT,867,3/11/18
Boo,Butter,28,6,2017,CT,919,6/28/17
Boo,Cherry,4,7,2019,NY,858,7/4/19
Boo,Ice,9,10,2017,CT,717,10/9/17
Boo,Grapes,21,4,2019,PA,377,4/21/19
Boo,Fish,3,12,2017,CT,39,12/3/17
Boo,Eggs,18,10,2018,CT,270,10/18/18
Boo,Cherry,15,9,2017,CT,600,9/15/17
Boo,Ice,30,10,2018,PA,490,10/30/18
Boo,Butter,29,11,2020,PA,46,11/29/20
